,error_angle_mean,error_angle_median,error_angle_std,N,k,n,kappa_within_site,site_lat,outlier_rate,ignore_outliers,site_long
0,8.969945818006545,7.55360097504343,6.287190212780955,72,24,3,50,30,0.0,False,0
0,9.215544674271994,7.7225591513087934,7.095078882768873,75,25,3,50,30,0.0,False,0
0,9.16436055150886,7.735235606360618,6.6865762653542635,78,26,3,50,30,0.0,False,0
0,8.998986219498335,7.602582711158725,6.34393007638231,81,27,3,50,30,0.0,False,0
0,9.411345083713659,7.779703161426028,6.867256476565145,84,28,3,50,30,0.0,False,0
0,9.188050177275771,7.644929413036678,6.480979734073978,87,29,3,50,30,0.0,False,0
0,9.0950840885494,7.687761353809144,6.503405682451153,90,30,3,50,30,0.0,False,0
0,8.94823639931366,7.50389469025356,6.296990968655061,93,31,3,50,30,0.0,False,0
0,9.044838753860772,7.563320498217124,6.453949147879816,96,32,3,50,30,0.0,False,0
0,8.971350057867946,7.481538579093382,6.459386846054973,99,33,3,50,30,0.0,False,0
0,9.17837870057979,7.69106939217405,6.806764340352011,102,34,3,50,30,0.0,False,0
0,9.100888168200598,7.677672265060821,6.369781447326142,105,35,3,50,30,0.0,False,0
0,9.14276054744332,7.646952234185584,6.690312487234926,108,36,3,50,30,0.0,False,0
0,9.257656296870042,7.751629674772737,6.799383166761096,111,37,3,50,30,0.0,False,0
0,9.206167975355754,7.634502171318616,6.725235919960706,114,38,3,50,30,0.0,False,0
0,9.079907757614771,7.6334427412182535,6.397737230416195,117,39,3,50,30,0.0,False,0
0,9.093949859514977,7.700502800400081,6.4138056623489845,120,40,3,50,30,0.0,False,0
0,9.943688609368248,8.826777450117262,5.901386252107655,4,1,4,50,30,0.0,False,0
0,8.858710867577745,7.806173838137809,5.4885704082522775,8,2,4,50,30,0.0,False,0
0,8.60279040954543,7.577658637556489,5.450848626039868,12,3,4,50,30,0.0,False,0
0,8.354025232160696,7.347176683528012,5.392527935873416,16,4,4,50,30,0.0,False,0
0,8.403066707203783,7.363558848316231,5.411220519288956,20,5,4,50,30,0.0,False,0
0,8.322386098084577,7.239573353199056,5.41847893573462,24,6,4,50,30,0.0,False,0
0,8.204415337946168,7.117298307895467,5.331832516229686,28,7,4,50,30,0.0,False,0
0,8.161686640798216,7.1106188314585665,5.398169428820333,32,8,4,50,30,0.0,False,0
0,8.148465042150526,7.024946464964387,5.2549282033624864,36,9,4,50,30,0.0,False,0
