,error_angle_mean,error_angle_median,error_angle_std,N,k,n,kappa_within_site,site_lat,outlier_rate,ignore_outliers,site_long
0,4.250752120453548,3.868736601883427,2.425409287748203,50,1,50,27.825594022071243,0,0.2,False,0
0,4.417205057454283,3.8898252876308845,2.662400775529421,50,5,10,27.825594022071243,0,0.2,True,0
0,2.1507062275082434,2.0028437032909565,1.1775062370133516,50,1,50,46.41588833612777,0,0.0,False,0
0,4.153185168741008,3.6849568857010837,2.524191443456818,50,5,10,46.41588833612777,0,0.0,True,0
0,2.7095518249009483,2.5102921141103636,1.5055993311386653,50,1,50,46.41588833612777,0,0.05,False,0
0,4.13333928924831,3.6403738982811475,2.5845871383679064,50,5,10,46.41588833612777,0,0.05,True,0
0,3.084169975886169,2.8276595819862607,1.722661137057539,50,1,50,46.41588833612777,0,0.1,False,0
0,4.135054113148656,3.6704714211737084,2.544586747777062,50,5,10,46.41588833612777,0,0.1,True,0
0,4.096737146190294,3.747949722558417,2.292369052040296,50,1,50,46.41588833612777,0,0.2,False,0
0,4.2550664078853035,3.7246451383292225,2.6647300432559877,50,5,10,46.41588833612777,0,0.2,True,0
0,2.0237453799144745,1.8929037935760036,1.0869919822320817,50,1,50,77.4263682681127,0,0.0,False,0
0,4.07421565346352,3.602455506118126,2.5227154157220397,50,5,10,77.4263682681127,0,0.0,True,0
0,2.4848019034893016,2.2773889900684097,1.364625717217604,50,1,50,77.4263682681127,0,0.05,False,0
0,4.016833791331629,3.556970946758831,2.5095652758704996,50,5,10,77.4263682681127,0,0.05,True,0
0,2.93868568292207,2.705061293507214,1.6148171898338017,50,1,50,77.4263682681127,0,0.1,False,0
0,4.0861736106292526,3.6284567721204795,2.5352757418734444,50,5,10,77.4263682681127,0,0.1,True,0
0,3.911202082117573,3.552033209528375,2.253456608562522,50,1,50,77.4263682681127,0,0.2,False,0
0,4.084964840597691,3.644817404353965,2.504237132228474,50,5,10,77.4263682681127,0,0.2,True,0
0,1.9371766639821055,1.8076978386745992,1.0426253199371336,50,1,50,129.1549665014884,0,0.0,False,0
0,4.0456930759356835,3.5523679798412147,2.486945514871503,50,5,10,129.1549665014884,0,0.0,True,0
0,2.3989298317378243,2.2209057010605875,1.333311187702558,50,1,50,129.1549665014884,0,0.05,False,0
0,3.9966855244568844,3.5295609604222165,2.4757343157986176,50,5,10,129.1549665014884,0,0.05,True,0
0,2.921382101575114,2.699920039203164,1.6043358897947635,50,1,50,129.1549665014884,0,0.1,False,0
0,3.9545997906777948,3.4770365825862584,2.47630283857285,50,5,10,129.1549665014884,0,0.1,True,0
0,3.864218272151514,3.543614243746859,2.176138546603067,50,1,50,129.1549665014884,0,0.2,False,0
0,4.065665737166767,3.6266117719479922,2.464208100979349,50,5,10,129.1549665014884,0,0.2,True,0
0,1.8727425712057264,1.7486407600695841,1.0056989474995606,50,1,50,215.44346900318823,0,0.0,False,0
0,3.9015960306924584,3.4210724396240124,2.4389292958807305,50,5,10,215.44346900318823,0,0.0,True,0
0,2.317486769956154,2.1386797947676257,1.2866905367360588,50,1,50,215.44346900318823,0,0.05,False,0
0,3.958482992424556,3.4599224824646058,2.437263058254831,50,5,10,215.44346900318823,0,0.05,True,0
0,2.8379991562931,2.591946139520509,1.6128911666184702,50,1,50,215.44346900318823,0,0.1,False,0
0,3.951671127640158,3.474649867734314,2.428348648165251,50,5,10,215.44346900318823,0,0.1,True,0
0,3.828202636716817,3.458971518658309,2.1963589585611643,50,1,50,215.44346900318823,0,0.2,False,0
0,3.945449231514768,3.4881927047900447,2.476959609324664,50,5,10,215.44346900318823,0,0.2,True,0
0,1.8445559146184265,1.6981349398238805,1.0099774914946165,50,1,50,359.38136638046257,0,0.0,False,0
0,3.933571418265067,3.407752549469116,2.490118092354705,50,5,10,359.38136638046257,0,0.0,True,0
0,2.3274638626138247,2.12541738875656,1.3071718651313362,50,1,50,359.38136638046257,0,0.05,False,0
0,3.9059989646244557,3.4036754269339156,2.4639193157147314,50,5,10,359.38136638046257,0,0.05,True,0
0,2.814573818122535,2.577086424555148,1.5922570648767764,50,1,50,359.38136638046257,0,0.1,False,0
