,,error_angle_mean,error_angle_median,error_angle_25,error_angle_75,error_angle_95,error_angle_std,error_angle_S2,error_vgp_scatter,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers,total_simulations
29,0,3.122533215171391,2.9308764727787278,1.8513062887309424,4.204120016291341,6.1991949061655145,1.6716019115235639,12.54167237750721,2.072992388571538,100,20,5,70,30,0.0,0.41999999999999993,G,,True,1000
30,0,4.22540835995064,3.280619689548743,1.9717858358837468,5.247788515332701,11.142348977663307,3.4545304337734644,29.775922545689966,20.483536700579993,100,100,1,90,30,0.0,0.5799999999999998,G,,vandamme,1000
31,0,4.282925842913178,4.037781589021641,2.6507878950413435,5.609381862088849,8.197220894299365,2.163728434490714,23.020492793378974,2.963797665896023,100,20,5,40,50,0.0,0.33999999999999997,G,,True,1000
32,0,12.681119122198332,11.868598974068888,6.987386778821627,17.2140316554878,25.279886154853354,7.053919101350702,210.5187991050961,50.77709131052779,100,100,1,50,80,0.0,0.6599999999999998,G,,vandamme,1000
33,0,2.5067446840489,2.335757096193575,1.4758107531396014,3.3414501710834372,4.9284866936311404,1.3864062737126854,8.203969144441524,4.6976151572003815,100,100,1,60,30,0.0,0.4599999999999999,G,,vandamme,1000
34,0,3.539982883018765,3.2744634228465017,2.0993453757350444,4.6706388280574345,7.207172233882152,1.938964500322466,16.287302562243088,2.3751562159925124,100,20,5,80,40,0.0,0.4599999999999999,G,,True,1000
35,0,1.4693411139991244,1.3811460791841412,0.8860596663392926,1.9758715131822022,2.898666479053596,0.7834412333047206,2.7721296951641676,1.0040332332824784,100,100,1,100,10,0.0,0.3,G,,vandamme,1000
36,0,3.033072364312331,2.879048279625515,1.8012778291308855,4.033930888599791,5.856345352912757,1.5835883495172016,11.70477227582108,2.014644070909721,100,20,5,80,30,0.0,0.41999999999999993,G,,True,1000
37,0,4.693950487700052,4.525445595843053,2.8491485877696405,6.263189993395208,9.076451039055554,2.365935881399644,27.625226123278967,2.9563398768655116,100,20,5,70,60,0.0,0.4999999999999999,G,,True,1000
38,0,5.37144510673066,5.152541812842699,3.423723982902157,7.086528626436962,10.253746877676631,2.7021304641302173,36.14663007075616,3.1600615199016193,100,20,5,90,80,0.0,0.3,G,,True,1000
39,0,2.7910254375042145,2.6562698511905936,1.6617207939573433,3.6450434540717502,5.3331505103533505,1.4740807972491092,9.960564275417344,7.66428563692965,100,100,1,20,30,0.0,0.3,G,,vandamme,1000
40,0,2.4556940985331135,2.3087897352928053,1.4665377907939394,3.187068482740546,4.766555229874287,1.283873146701065,7.6771154321336335,1.551147630053052,100,20,5,90,0,0.0,0.4599999999999999,G,,True,1000
41,0,4.201498466517505,3.985847565272479,2.5408523032385695,5.586018838675486,8.207242639280278,2.2294984916741094,22.61828222500169,2.539388143764749,100,20,5,70,50,0.0,0.4599999999999999,G,,True,1000
42,0,5.765780135121635,4.63849171962616,2.75953973941737,7.646370307664448,13.427093843401797,4.318059676185437,51.87121429429485,28.999089619098157,100,100,1,80,30,0.0,0.6199999999999999,G,,vandamme,1000
43,0,8.323812956668995,7.457230334673312,4.57065582390414,10.787494296865543,17.882271485940763,5.205690542107204,96.35797694377484,39.65038700252651,100,100,1,50,40,0.0,0.6199999999999999,G,,vandamme,1000
44,0,7.307498436565637,6.737418819745358,4.4259970485553914,9.695047795764498,14.569823631919062,4.060623137228265,69.87170500274014,32.21235724562932,100,100,1,30,50,0.0,0.5399999999999998,G,,vandamme,1000
45,0,2.4303622171521893,2.311237088341187,1.4377592064991127,3.2785150506866216,4.599547819612686,1.2656169427896224,7.506844966191178,1.5146345652270115,100,20,5,100,0,0.0,0.41999999999999993,G,,True,1000
46,0,4.939464319836052,4.782731498710795,3.0093274193532835,6.57997504395761,9.268018601509832,2.498063425098098,30.632388321870458,3.0995158173669948,100,20,5,90,70,0.0,0.4999999999999999,G,,True,1000
