,plong,plat,total_samples,samples_per_sites,error_angle
51,45.44704793915065,82.9016551693874,40.0,[1.],7.098344830612604
52,298.30444474939924,83.32704248871272,40.0,[1.],6.672957511287279
53,7.549457965271314,88.11099376709595,40.0,[1.],1.8890062329040518
54,265.9595686381952,84.84382979011593,40.0,[1.],5.156170209884067
55,247.22549967207505,86.07972546792364,40.0,[1.],3.9202745320763626
56,123.02107634183514,87.91092417072512,40.0,[1.],2.0890758292748757
57,110.44409736579273,87.50818031492345,40.0,[1.],2.4918196850765497
58,112.81530188508692,89.14090423244048,40.0,[1.],0.8590957675595234
59,39.80704863488029,87.13881886623817,40.0,[1.],2.861181133761832
60,224.5734927250797,86.60491983314459,40.0,[1.],3.395080166855408
61,48.213731493685394,88.73789811313436,40.0,[1.],1.2621018868656364
62,38.96044959414729,88.09810402664178,40.0,[1.],1.9018959733582221
63,94.20098081568068,89.1185430795524,40.0,[1.],0.8814569204476044
64,199.5081739135572,88.05447403653626,40.0,[1.],1.9455259634637372
65,108.69136963321603,86.60831235209587,40.0,[1.],3.391687647904135
66,310.7029161371253,89.35781309935274,40.0,[1.],0.6421869006472605
67,91.75058360104786,87.29411677997311,40.0,[1.],2.705883220026891
68,167.80500820723623,89.42168433411433,40.0,[1.],0.5783156658856683
69,35.21067536035783,85.7815023390769,40.0,[1.],4.218497660923106
70,219.35340773346164,85.408033111239,40.0,[1.],4.591966888760993
71,354.17224837841206,87.1003884567101,40.0,[1.],2.8996115432898932
72,260.0842130403488,86.94174903498,40.0,[1.],3.058250965019994
73,299.11612036326966,87.16453713449505,40.0,[1.],2.835462865504951
74,333.69543350392246,86.64305522385568,40.0,[1.],3.356944776144317
75,324.50614425015675,86.0788839072885,40.0,[1.],3.9211160927115003
76,95.28723724199759,86.82649618214506,40.0,[1.],3.173503817854936
77,315.34740092388716,88.56492879900917,40.0,[1.],1.4350712009908335
78,165.26702178258074,89.23973569901499,40.0,[1.],0.7602643009850141
79,186.03510668621706,88.82944668691513,40.0,[1.],1.1705533130848664
80,359.8205802502534,87.85173549352092,40.0,[1.],2.14826450647908
81,56.92566168043788,85.43267053381473,40.0,[1.],4.567329466185271
82,121.03237992379248,87.44552540034356,40.0,[1.],2.5544745996564444
83,46.62753022563239,89.62381126196723,40.0,[1.],0.3761887380327664
84,95.52036381865794,89.06617044816178,40.0,[1.],0.9338295518382154
85,269.6244377907772,85.57813477005324,40.0,[1.],4.421865229946761
86,217.66934894816512,86.74361032291755,40.0,[1.],3.2563896770824527
87,68.43332129926773,87.08576929355543,40.0,[1.],2.9142307064445703
88,84.56726533366258,86.77095354603786,40.0,[1.],3.229046453962141
89,175.45877222745992,88.12148737721608,40.0,[1.],1.8785126227839157
90,199.1978830817463,88.59943403248037,40.0,[1.],1.4005659675196256
91,61.43613992753728,88.57307009955097,40.0,[1.],1.426929900449025
92,307.09448744600286,87.10786561558739,40.0,[1.],2.892134384412614
93,353.074975210661,86.98516133328022,40.0,[1.],3.0148386667197826
