,error_angle_mean,error_angle_median,error_angle_95,error_angle_std,n_tot,n,k,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers
0,26.713392214335755,24.696724609187683,52.96734574492716,15.173446852493676,50,50,1,60,80,0.0,0.75,G,,False
0,9.456688115171918,8.937483010420571,18.232522988170693,4.885171007333937,50,10,5,40,80,0.0,0.7000000000000001,G,,True
0,5.471071291532917,5.0944547572588945,11.140282019223955,3.0098553315778545,50,10,5,10,20,0.0,0.30000000000000004,G,,True
0,20.298820732081875,18.344384229308453,43.07651264496222,12.899285883813784,50,50,1,60,60,0.0,0.7000000000000001,G,,False
0,4.944089415470189,4.589530076456221,9.71480679364338,2.675926696351508,50,10,5,10,0,0.0,0.35000000000000003,G,,True
0,7.225905897951701,6.696136614784365,14.495555923590784,3.8620952009820573,50,50,1,80,50,0.0,0.35000000000000003,G,,False
0,7.129379027443491,6.530484457970424,15.167001657690868,4.271126963425987,50,50,1,80,30,0.0,0.4,G,,False
0,6.666191419873152,6.138315475567055,13.271771733433303,3.4720806070533294,50,50,1,10,70,0.0,0.0,G,,False
0,7.095549869664449,6.511739929856724,14.676747240113459,4.009143194738802,50,10,5,10,30,0.0,0.5,G,,True
0,3.387308031049498,3.122495651934173,6.638032289418184,1.806581127403151,50,50,1,100,60,0.0,0.05,G,,False
0,8.148533135929073,7.7166236067934335,15.920916898234937,4.309947014142952,50,50,1,30,70,0.0,0.30000000000000004,G,,False
0,5.0331600907805605,4.750784800628452,9.66659677331074,2.6565734828648297,50,10,5,20,20,0.0,0.45,G,,True
0,7.375660943726721,6.769179938325365,14.758278036773259,3.9632228249135326,50,10,5,100,80,0.0,0.45,G,,True
0,7.493204789326232,6.982400565263077,14.811500478634708,4.0592888273633365,50,50,1,20,80,0.0,0.2,G,,False
0,7.869660544211645,7.459711873014143,15.373930639678177,4.067523401708357,50,10,5,30,80,0.0,0.1,G,,True
0,7.099442496223559,6.884069632705852,13.63009749389959,3.6764142898535757,50,10,5,100,80,0.0,0.1,G,,True
0,26.688938372634855,24.59432483420209,52.08548835230015,14.296169599692382,50,50,1,80,80,0.0,0.75,G,,False
0,5.71505748850442,5.121531237375983,11.717505412478621,3.3464622795214067,50,50,1,60,10,0.0,0.35000000000000003,G,,False
0,8.38456880445914,7.846510282696315,16.416915485131636,4.371579073629667,50,10,5,50,80,0.0,0.55,G,,True
0,5.792984726589106,5.506856959630134,11.299347568556424,3.0661753197616606,50,50,1,100,80,0.0,0.2,G,,False
0,3.70187449567989,3.3098551107755796,7.865851380481403,2.080752513750942,50,50,1,80,30,0.0,0.15000000000000002,G,,False
0,7.200743479847756,6.706489492099671,14.039022291129827,3.8543495240287364,50,10,5,60,60,0.0,0.6000000000000001,G,,True
0,11.221182965361965,10.069817125059032,23.897176512361547,6.872771459775221,50,50,1,10,0,0.0,0.55,G,,False
0,5.6916239149166215,5.43761300050069,10.933187626133787,2.8691005190063943,50,10,5,70,50,0.0,0.2,G,,True
0,3.5258644523893135,3.3121589897019774,6.9026321185652355,1.8602923243444176,50,10,5,80,10,0.0,0.4,G,,True
0,4.208257001140366,3.9591830968798334,8.110623127013097,2.1906395313772866,50,10,5,60,10,0.0,0.65,G,,True
0,4.439434402697756,4.1045608355673195,8.842579336863675,2.3780814791863714,50,10,5,80,30,0.0,0.5,G,,True
0,7.4953193374808285,7.099474907268245,14.743239350615381,3.9836991205892267,50,10,5,40,80,0.0,0.05,G,,True
0,6.180049487089338,5.779105113122668,12.406896284940906,3.2801838693415224,50,10,5,20,40,0.0,0.35000000000000003,G,,True
0,6.969845705050504,6.501861008063031,13.743797844756234,3.715493459450777,50,50,1,90,70,0.0,0.30000000000000004,G,,False
0,11.800269858911593,10.801817518914376,24.05757616412759,6.744849138405644,50,50,1,70,50,0.0,0.55,G,,False
0,7.293959598364463,6.643398747847797,15.08231460755224,4.1799638874747505,50,50,1,80,0,0.0,0.45,G,,False
0,7.080405744361955,6.428051477475982,14.193003541536312,3.798206634206348,50,10,5,40,60,0.0,0.5,G,,True
0,6.131017866708294,5.6189859163064355,12.214538165602463,3.435963625192455,50,50,1,50,20,0.0,0.35000000000000003,G,,False
0,7.224511054762425,6.623507013181182,14.426768601871771,3.948942184518182,50,50,1,20,60,0.0,0.25,G,,False
0,7.151386158699935,6.5307716594411716,14.573532737568613,3.903433106506206,50,10,5,50,50,0.0,0.7000000000000001,G,,True
0,3.784210796597098,3.4835716401997274,7.413010532170726,2.0344688539073137,50,50,1,70,60,0.0,0.05,G,,False
0,4.90600534231834,4.584710215407341,9.71830671280746,2.58659482223393,50,10,5,60,30,0.0,0.6000000000000001,G,,True
0,5.545446671352375,5.125393322009174,11.634764388292453,3.2232839169822394,50,50,1,80,50,0.0,0.25,G,,False
0,5.939858124825461,5.71913148038054,11.342380076619785,3.0596513123357187,50,10,5,90,60,0.0,0.2,G,,True
0,6.695696270158602,6.298386891873363,13.416433662873855,3.623164364953004,50,50,1,50,70,0.0,0.25,G,,False
0,18.876912490901557,16.24269431125758,42.4349702918242,12.072667198549356,50,50,1,90,40,0.0,0.7000000000000001,G,,False
0,3.7684805506675843,3.5400577073388817,7.435622783843557,2.008568813351028,50,10,5,60,20,0.0,0.1,G,,True
0,6.878169665613297,6.5268307935376555,13.161253637971688,3.591500299405559,50,10,5,40,60,0.0,0.35000000000000003,G,,True
0,4.911680595785472,4.600691993127747,9.57273484399374,2.6128594783296255,50,10,5,20,20,0.0,0.4,G,,True
