,kappa,std_angular
153,1189.5340673703195,2.3371317498279764
154,1245.883364295008,2.293837334220089
155,1304.9019780144029,2.24625905391832
156,1366.7163564620073,2.193367590620743
157,1431.4589375234787,2.1486563248360215
158,1499.2684327860457,2.098600888066702
159,1570.2901247293776,2.0465370665180647
160,1644.6761779946644,1.997705911279136
161,1722.5859653987875,1.9548925566483377
162,1804.1864093920717,1.9022001873601595
163,1889.6523396912096,1.8629956664942247
164,1979.1668678535573,1.8281579404856951
165,2072.921779595372,1.769591243385687
166,2171.117945694505,1.7410947097968734
167,2273.9657523579276,1.706245838549598
168,2381.6855519761584,1.6539000289155625
169,2494.5081352303164,1.6235674040466048
170,2612.675225563329,1.580420356085573
171,2736.4399970746717,1.5440597481600165
172,2866.0676169482504,1.511664988445685
